23492	-6507ea20969e1e0d285c237dad7fc495669a9d4f
16123	-5b76773c59f4573dddd9ddaac7932e6fa299cbcf
24238	-1eb01168e703661a1bbc47939d2f1dec15a68009
20860	268b3825b84a71f8ffbb5926a29b20d7100e52a4
34248	21dbb0ae598f00bd4dd09f997cf862ce0c6fef0
1063	667853e2f8506c8936a810fe3c41edccdfba1883
31497	-229ffd066595139ac71d78ad9818b2bb91978c37
4131	3e505cb9b5142ab53295693258e35ced67e2ca37
34952	-497f6204794273d3bd87a795cb56523603aea80b
30690	-319c32d53f358f3c078ae2d3d221c445ae645f1
2995	5c786348498adc93b1fa1d6bdd31169abda9b7ff
11548	424aace473d165fac700499381077479dfc09ee7
28654	-16688384aa33879136c6d616162e9c0bb1024a6e
20402	-b752cf8131f08315c11d2258b51a569fb2be6a8
28386	7212f4f9052bd9450b19f711866bd9116400c442
32157	74cfb3d505b8c3d2b1891fd0c53445f70aa954d1
6434	1e743c318e404bbf354f626854b520b32012b6ca
24225	6effa6b490a89c536304548f81a476ad352f6589
18000	-4ba6aff3870a7e5a1f025da91da6d39b06c9bec9
8885	17178cb5c035e7f1d559f1f491e7e6af7f1ab270
48458	-2326f7f63a0670b5b8402436f8a0c23fcbc4a6be
5687	15030578d489200188f357d826105760cc577b0e
28853	-760af5c0e94fce0324b6436ba94bedd99ef01daf
16924	-d2014b182fef4d4ab59725424027791186f2ba1
15811	361deb7991a880e57c5434cd9e6e770cb798d148
27815	-365d65486ab0e97b186327e88b4039363bcc252d
29407	-2a2fe6179eb7a11da78db1fb44fb65ee79954ef7
49241	7baaf030d4a2c0069dc647b49cdfdb1925be8e03
30669	7fb559e23bdf4f3641b2bc30f7d3d4608ad26f5
7453	932b84a6beb63f3109dc04dc3d1a6068b9e2678
893	-6e99c9dbf3e9823bdf41fc9d1cda6a7b67a2aeb
42298	-1b76e50bef5c62ce4cabc01bbe049eb0244037f
15085	-4261cab573eb2b6cd2331e6bbf8c3cb4bdabafb6
8993	-2694178b396badeba8d199dcf0b5b7872b9f72e
46388	549a200f87c6a17657eff1c8b0e82a01205f8d3b
35006	65f65f06614e891d3ac6baf8895ff04137eab381
1234	-472a005ac2c231de7482563403bd1b03c7e8c5e5
36463	-37c801473c82e19a25ebf90459532da85f7f0e0c
47541	245193719205e3c6f1443fb93277fbbd8a43bae6
45302	36d172295016b519f7871ef0eb84cccf752b592
18377	-61a3151685363717a480923e044c60c3c6bd889a
7043	5f7bc94b6a9eeb26f6fbd6dfee084d543fb20d19
31318	-731a3443b3b86ce5380bc5cfd8e67a330d65bd23
